state_id,county,policy_level,date,policy_type,start_stop
ND,Pembina,county,9/3/20,Phase 5,start
ME,,state,3/25/20,Entertainment,start
OR,Lane,county,5/15/20,New Phase,start
DE,,state,3/24/20,Non-Essential Businesses,start
IA,,state,4/2/20,Shelter in Place,start
CT,,state,3/16/20,Gyms,start
MI,,state,3/16/20,Gyms,start
IN,,state,3/30/20,Allow Audio Only Telehealth,start
TX,Wilbarger,county,7/3/20,Mask Requirement,start
TX,Oldham,county,7/3/20,Mask Requirement,start
NV,,state,3/12/20,State of Emergency,start
CO,Denver,county,6/6/20,Outdoor and Recreation,start
OH,Montgomery,county,7/16/20,Mask Requirement,start
CA,El Dorado County,county,3/20/20,Shelter in Place,start
LA,,state,3/13/20,Allow Expand Medicaid Telehealth Coverage,start
ME,Washington,county,5/11/20,Non-Essential Businesses,start
MI,Grand Traverse,county,7/31/20,Entertainment,start
ND,Grand Forks,county,9/3/20,Phase 3,start
MS,Hinds,county,7/13/20,Childcare (K-12),start
UT,,state,4/1/20,Stop Enforcement Of Evictions Overall Or Due To Covid Related Issues,start
ND,Rolette,county,9/3/20,Childcare (K-12),start
MI,Crawford,county,7/31/20,Entertainment,start
DE,,state,3/24/20,Stop Initiation Of Evictions Overall Or Due To Covid Related Issues,start
CO,,state,3/17/20,Entertainment,start
IA,,state,3/27/20,Suspended Elective Medical Dental Procedures,start
MI,Otsego,county,7/31/20,Entertainment,start
CA,,state,3/30/20,Allow Audio Only Telehealth,start
AZ,,state,3/20/20,Gyms,start
GA,Gwinnett County,county,3/28/20,Shelter in Place,start
NM,,state,5/6/20,Mandate Face Mask Use By All Individuals In Public Facing Businesses,start
NE,,state,3/17/20,Allow Expand Medicaid Telehealth Coverage,start
ND,Foster,county,9/3/20,Outdoor and Recreation,start
TX,Jones County,county,4/6/20,Shelter in Place,start
NE,Cheyenne,county,3/30/20,Shelter in Place,start
TX,Bexar,county,5/19/20,Food and Drink,start
MN,,state,3/16/20,Nursing Homes,start
FL,,state,4/3/20,Shelter in Place,start
AK,,state,4/24/20,Mandate Face Mask Use By All Individuals In Public Spaces,start
MS,Rankin,county,7/13/20,Day Care,start
TX,Hood County,county,3/25/20,Shelter in Place,start
SC,,state,3/18/20,Food and Drink,start
MT,,state,3/20/20,Allow Audio Only Telehealth,start
ND,Rolette,county,9/3/20,Phase 5,start
IL,Bond,county,8/18/20,Food and Drink,start
OK,,state,3/24/20,Shelter in Place,start
CA,,state,3/19/20,Food and Drink,start
MS,Claiborne,county,7/13/20,Non-Essential Businesses,start
SC,,state,4/7/20,Shelter in Place,start
WA,,state,3/16/20,Nursing Homes,start
MS,Sunflower,county,7/13/20,Childcare (K-12),start
MI,Kalkaska,county,7/31/20,Entertainment,start
KS,Wyandotte County,county,3/24/20,Shelter in Place,start
IN,,state,3/6/20,State of Emergency,start
NE,Chase,county,4/3/20,Shelter in Place,start
OR,Lane,county,5/15/20,Outdoor and Recreation,start
DC,,state,4/15/20,Mandate Face Mask Use By All Individuals In Public Facing Businesses,start
KY,,state,3/18/20,Allow Expand Medicaid Telehealth Coverage,start
OH,Pickaway,county,7/10/20,Mask Requirement,start
IN,,state,3/30/20,Allow Expand Medicaid Telehealth Coverage,start
NH,Cheshire,county,6/15/20,Food and Drink,start
WA,,state,3/10/20,Reopened ACA Enrollment Using a Special Enrollment Period,start
WI,,state,3/12/20,State of Emergency,start
TX,Hansford,county,7/3/20,Mask Requirement,start
TX,Ellis County,county,3/25/20,Shelter in Place,start
WY,,state,5/1/20,Mandate Face Mask Use By All Individuals In Public Facing Businesses,start
WV,,state,4/20/20,Resumed Elective Medical Procedures,start
VA,,state,3/16/20,Order Freezing Utility Shut Offs,start
ND,Walsh,county,9/3/20,Non-Essential Businesses,start
NJ,,state,3/16/20,Gyms,start
CA,Imperial County,county,4/1/20,Shelter in Place,start
AK,,state,3/28/20,Non-Essential Businesses,start
KS,,state,3/30/20,Food and Drink,start
MI,Cheboygan,county,7/31/20,Outdoor and Recreation,start
WI,,state,3/17/20,Food and Drink,start
IA,,state,3/9/20,State of Emergency,start
MO,Boone County,county,3/25/20,Shelter in Place,start
IL,,state,4/23/20,Stop Initiation Of Evictions Overall Or Due To Covid Related Issues,start
OH,Licking,county,7/23/20,Public Health Advisory System,start
MI,Crawford,county,7/31/20,Outdoor and Recreation,start
NC,Durham County,county,3/29/20,Shelter in Place,start
UT,Salt Lake,county,7/17/20,Phase 2,start
OR,Benton,county,6/5/20,Food and Drink,start
PA,Pike County,county,3/27/20,Shelter in Place,start
MI,,state,4/6/20,Modify Medicaid Requirements With 1135 Waivers Date Of CMS Approval,start
DE,,state,3/24/20,Shelter in Place,start
NM,,state,3/20/20,Allow Expand Medicaid Telehealth Coverage,start
ND,Pembina,county,9/3/20,Outdoor and Recreation,start
MS,Jackson,county,7/13/20,Houses of Worship,start
NE,Hayes,county,4/3/20,Shelter in Place,start
DC,,state,3/17/20,Gyms,start
HI,Honolulu,county,9/24/20,Non-Essential Businesses,start
IN,Marion,county,6/1/20,Phase 3,start
GA,Fulton,county,4/1/20,Outdoor and Recreation,start
TX,Shelby County,county,3/30/20,Shelter in Place,start
TX,Erath County,county,3/25/20,Shelter in Place,start
MS,DeSoto,county,7/13/20,Childcare (K-12),start
AK,,state,4/10/20,Stop Initiation Of Evictions Overall Or Due To Covid Related Issues,start
OH,Wood,county,7/23/20,Public Health Advisory System,start
ND,Benson,county,9/3/20,Phase 3,start
KY,,state,3/16/20,Food and Drink,start
DC,,state,3/17/20,Stop Enforcement Of Evictions Overall Or Due To Covid Related Issues,start
FL,Palm Beach,county,7/3/20,Food and Drink,start
KS,Reno County,county,3/30/20,Shelter in Place,start
MO,Gasconade County,county,3/31/20,Shelter in Place,start
TX,,state,4/21/20,Resumed Elective Medical Procedures,start
TX,Kleberg County,county,3/27/20,Shelter in Place,start
MO,,state,4/3/20,Entertainment,start
TX,Blanco County,county,4/6/20,Shelter in Place,start
NC,,state,5/30/20,Stop Initiation Of Evictions Overall Or Due To Covid Related Issues,start
WY,,state,3/27/20,Modify Medicaid Requirements With 1135 Waivers Date Of CMS Approval,start
OH,Lucas,county,7/23/20,Public Health Advisory System,start
NY,,state,3/16/20,Food and Drink,start
PA,Cumberland,county,6/12/20,Phase 2,start
MS,Claiborne,county,7/13/20,Houses of Worship,start
ME,,state,5/1/20,Mandate Face Mask Use By All Individuals In Public Spaces,start
NE,Hitchcock,county,4/3/20,Shelter in Place,start
MS,Jackson,county,7/13/20,Outdoor and Recreation,start
KS,Miami County,county,3/25/20,Shelter in Place,start
RI,,state,3/16/20,Childcare (K-12),start
IN,Marion,county,6/1/20,Phase 3,start
MS,Sunflower,county,7/20/20,Outdoor and Recreation,stop
MO,Jackson,county,5/31/20,Outdoor and Recreation,stop
KY,,state,5/11/20,Non-Essential Businesses,stop
OK,,state,5/1/20,Food and Drink,stop
ME,,state,6/17/20,Gyms,stop
NE,Stanton,county,5/6/20,Shelter in Place,stop
MO,Webster County,county,4/24/20,Shelter in Place,stop
NV,,state,5/29/20,Gyms,stop
TX,Coryell County,county,5/4/20,Shelter in Place,stop
NE,Banner,county,5/11/20,Shelter in Place,stop
NE,Kimball,county,5/11/20,Shelter in Place,stop
TX,Cass County,county,4/30/20,Shelter in Place,stop
PA,Beaver County,county,4/30/20,Shelter in Place,stop
FL,Palm Beach,county,7/5/20,Non-Essential Businesses,stop
UT,,state,5/1/20,Food and Drink,stop
TX,Jefferson County,county,4/10/20,Shelter in Place,stop
GA,Cobb County,county,4/15/20,Shelter in Place,stop
FL,Sumter County,county,4/30/20,Shelter in Place,stop
MN,,state,6/1/20,Food and Drink,stop
MS,Madison,county,7/20/20,Day Care,stop
LA,,state,5/1/20,Food and Drink,stop
NE,Custer,county,5/11/20,Shelter in Place,stop
MS,Claiborne,county,7/20/20,Manufacturing,stop
MS,Washington,county,7/20/20,Day Care,stop
OK,,state,4/24/20,Non-Essential Businesses,stop
TX,Refugio County,county,4/30/20,Shelter in Place,stop
CA,Placer County,county,5/1/20,Shelter in Place,stop
OR,,state,5/15/20,Shelter in Place,stop
MO,Jackson County,county,4/23/20,Shelter in Place,stop
GA,Fulton,county,4/30/20,Childcare (K-12),stop
MO,Jackson,county,5/31/20,Entertainment,stop
MS,Quitman,county,7/20/20,Entertainment,stop
IN,Lake,county,6/13/20,Phase 3,stop
MS,Washington,county,7/20/20,Non-Essential Businesses,stop
TX,Zapata County,county,5/11/20,Shelter in Place,stop
TX,Brown County,county,4/3/20,Shelter in Place,stop
FL,Leon County,county,4/19/20,Shelter in Place,stop
PA,,state,7/3/20,Gyms,stop
MS,Hinds,county,7/20/20,Day Care,stop
MS,Sunflower,county,7/20/20,Day Care,stop
MS,Jackson,county,7/20/20,Day Care,stop
TX,San Patricio County,county,5/4/20,Shelter in Place,stop
CA,Yolo County,county,5/1/20,Shelter in Place,stop
MS,Rankin,county,7/20/20,Childcare (K-12),stop
MA,,state,5/18/20,Shelter in Place,stop
MO,Stoddard County,county,4/24/20,Shelter in Place,stop
TX,Aransas County,county,4/30/20,Shelter in Place,stop
ND,,state,5/1/20,Non-Essential Businesses,stop
MA,,state,6/8/20,Food and Drink,stop
NY,Allegany,county,6/30/20,Phase 3,stop
MS,Claiborne,county,7/20/20,Non-Essential Businesses,stop
NE,Thomas,county,5/11/20,Shelter in Place,stop
IN,Elkhart,county,7/31/20,Phase 4,stop
TX,Dallas County,county,5/15/20,Shelter in Place,stop
NE,Harlan,county,5/11/20,Shelter in Place,stop
MS,Montgomery,county,8/3/20,Phase 3,stop
NE,Nemaha,county,5/11/20,Shelter in Place,stop
NJ,,state,6/9/20,Shelter in Place,stop
TX,Chambers County,county,4/30/20,Shelter in Place,stop
NE,Box Butte,county,5/11/20,Shelter in Place,stop
MS,DeSoto,county,7/20/20,Manufacturing,stop
MS,Washington,county,7/20/20,Food and Drink,stop
IL,Cook,county,5/30/20,Phase 1,stop
WY,,state,5/1/20,Non-Essential Businesses,stop
OK,,state,5/6/20,Shelter in Place,stop
MS,Madison,county,7/20/20,Entertainment,stop
TX,Starr County,county,11/1/20,Shelter in Place,stop
MO,,state,5/4/20,Food and Drink,stop
TX,Andrews County,county,4/22/20,Shelter in Place,stop
NE,Washington,county,5/6/20,Shelter in Place,stop
MI,,state,9/9/20,Gyms,stop
IN,Lake,county,6/13/20,Phase 3,stop
NE,Dundy,county,5/11/20,Shelter in Place,stop
NY,Cattaraugus,county,6/30/20,Non-Essential Businesses,stop
NE,Scotts Bluff,county,5/11/20,Shelter in Place,stop
NE,Wayne,county,5/11/20,Shelter in Place,stop
NE,Valley,county,5/11/20,Shelter in Place,stop
NE,Knox,county,5/11/20,Shelter in Place,stop
ME,York,county,6/1/20,Food and Drink,start
ND,Renville,county,9/3/20,Childcare (K-12),start
IL,Monroe,county,8/18/20,Entertainment,start
LA,,state,3/17/20,Food and Drink,start
OH,Henry,county,7/23/20,Public Health Advisory System,start
TX,Scurry County,county,3/27/20,Shelter in Place,start
PA,Perry,county,6/19/20,Phase 2,start
MI,Kalkaska,county,7/31/20,Outdoor and Recreation,start
AZ,,state,3/11/20,State of Emergency,start
NE,,state,4/3/20,Suspended Elective Medical Dental Procedures,start
SD,,state,4/15/20,Allow Audio Only Telehealth,start
PA,Lehigh,county,6/26/20,Phase 2,start
NY,Richmond,county,6/8/20,Wholesale Trade,start
PA,Butler County,county,3/27/20,Shelter in Place,start
NE,Cedar,county,4/3/20,Shelter in Place,start
OH,Lawrence,county,7/23/20,Public Health Advisory System,start
TX,Tarrant County,county,3/24/20,Shelter in Place,start
OK,,state,3/24/20,Modify Medicaid Requirements With 1135 Waivers Date Of CMS Approval,start
AR,,state,3/19/20,Food and Drink,start
NY,Kings,county,7/6/20,Phase 3,start
WY,,state,3/13/20,State of Emergency,start
MN,,state,3/28/20,Allow Expand Medicaid Telehealth Coverage,start
ND,Griggs,county,9/3/20,Non-Essential Businesses,start
DC,,state,4/6/20,Reopened ACA Enrollment Using a Special Enrollment Period,start
CO,,state,4/23/20,Mandate Face Mask Use By All Individuals In Public Facing Businesses,start
MO,St. Louis city,county,3/23/20,Shelter in Place,start
ND,,state,3/24/20,Modify Medicaid Requirements With 1135 Waivers Date Of CMS Approval,start
NE,,state,3/23/20,Allow Audio Only Telehealth,start
NE,York,county,3/28/20,Shelter in Place,start
NH,,state,3/27/20,Gyms,start
NY,New York,county,6/8/20,Manufacturing,start
AR,,state,4/27/20,Resumed Elective Medical Procedures,start
MS,,state,4/1/20,Stop Enforcement Of Evictions Overall Or Due To Covid Related Issues,start
FL,Broward,county,7/3/20,Outdoor and Recreation,start
UT,Kane,county,6/12/20,Phase 4,start
VA,,state,3/19/20,Allow Audio Only Telehealth,start
AK,,state,3/28/20,Shelter in Place,start
FL,Miami-Dade,county,7/9/20,Mask Requirement,start
FL,Palm Beach,county,7/3/20,Outdoor and Recreation,start
ND,Traill,county,9/3/20,Food and Drink,start
NE,,state,5/4/20,Resumed Elective Medical Procedures,start
AL,,state,3/23/20,Modify Medicaid Requirements With 1135 Waivers Date Of CMS Approval,start
NE,Gosper,county,3/31/20,Shelter in Place,start
TX,Hale County,county,3/31/20,Shelter in Place,start
NE,Cherry,county,4/1/20,Shelter in Place,start
ND,McIntosh,county,9/3/20,Childcare (K-12),start
PA,Delaware,county,6/26/20,Phase 2,start
TX,Briscoe County,county,4/7/20,Shelter in Place,start
ND,Divide,county,9/3/20,Non-Essential Businesses,start
MN,,state,5/10/20,Resumed Elective Medical Procedures,start
IN,,state,3/25/20,Modify Medicaid Requirements With 1135 Waivers Date Of CMS Approval,start
MO,Jackson,county,5/11/20,Entertainment,start
MO,Jackson,county,6/1/20,Phase 2,start
ND,Renville,county,9/3/20,Non-Essential Businesses,start
ND,Divide,county,9/3/20,Phase 5,start
MI,Roscommon,county,7/31/20,Entertainment,start
TX,Hockley County,county,3/31/20,Shelter in Place,start
HI,,state,3/30/20,Allow Expand Medicaid Telehealth Coverage,start
NY,Allegany,county,6/16/20,Non-Essential Businesses,start
MS,Madison,county,7/13/20,Outdoor and Recreation,start
AL,,state,3/19/20,Suspended Elective Medical Dental Procedures,start
IL,Washington,county,8/18/20,Non-Essential Businesses,start
ND,Traill,county,9/3/20,Childcare (K-12),start
TX,Terry County,county,4/3/20,Shelter in Place,start
ID,,state,3/26/20,Modify Medicaid Requirements With 1135 Waivers Date Of CMS Approval,start
NE,,state,3/13/20,State of Emergency,start
GA,Fulton,county,4/1/20,Non-Essential Businesses,start
NE,Dundy,county,4/3/20,Shelter in Place,start
ND,McIntosh,county,9/3/20,Food and Drink,start
MS,Sunflower,county,7/13/20,Day Care,start
MS,Sunflower,county,7/13/20,Entertainment,start
PA,Lancaster County,county,3/27/20,Shelter in Place,start
OR,,state,3/22/20,Stop Enforcement Of Evictions Overall Or Due To Covid Related Issues,start
CT,,state,3/19/20,Reopened ACA Enrollment Using a Special Enrollment Period,start
AK,,state,3/19/20,Suspended Elective Medical Dental Procedures,start
ID,Bear Lake,county,6/13/20,Day Care,start
TX,,state,3/30/20,Modify Medicaid Requirements With 1135 Waivers Date Of CMS Approval,start
CT,,state,3/16/20,Food and Drink,start
HI,,state,4/26/20,Resumed Elective Medical Procedures,start
MS,Grenada,county,7/13/20,Manufacturing,start
OH,Scioto,county,7/17/20,Mask Requirement,start
CO,Otero,county,10/30/20,Houses of Worship,start
OR,Benton,county,6/5/20,Houses of Worship,start
LA,,state,5/1/20,Mandate Face Mask Use By All Individuals In Public Facing Businesses,start
FL,,state,3/9/20,State of Emergency,start
ND,McLean,county,9/3/20,Food and Drink,start
NH,,state,3/18/20,Allow Audio Only Telehealth,start
TX,Limestone County,county,4/2/20,Shelter in Place,start
NC,Buncombe County,county,3/27/20,Shelter in Place,start
ID,,state,4/6/20,Allow Audio Only Telehealth,start
VT,,state,3/30/20,Allow Expand Medicaid Telehealth Coverage,start
CO,,state,4/30/20,Stop Enforcement Of Evictions Overall Or Due To Covid Related Issues,start
NM,,state,3/24/20,Stop Enforcement Of Evictions Overall Or Due To Covid Related Issues,start
MI,Otsego,county,7/31/20,Outdoor and Recreation,start
AL,,state,7/16/20,Mandate Face Mask Use By All Individuals In Public Spaces,start
ND,Barnes,county,9/3/20,Outdoor and Recreation,start
ME,,state,3/15/20,State of Emergency,start
ID,,state,3/25/20,Gyms,start
MO,Jackson,county,5/11/20,New Phase,start
ND,,state,3/20/20,Entertainment,start
MS,Claiborne,county,7/13/20,Manufacturing,start
CO,Archuleta,county,9/25/20,Food and Drink,start
MS,Sunflower,county,7/13/20,Manufacturing,start
TX,Lampasas County,county,4/1/20,Shelter in Place,start
CO,,state,3/12/20,Nursing Homes,start
ME,Knox,county,5/18/20,Food and Drink,start
TX,Calhoun County,county,4/3/20,Shelter in Place,start
TX,Harrison County,county,3/31/20,Shelter in Place,start
FL,Miami-Dade,county,7/3/20,Entertainment,start
ND,LaMoure,county,9/3/20,Outdoor and Recreation,start
ME,Franklin,county,5/18/20,Outdoor and Recreation,start
GA,,state,4/3/20,Shelter in Place,start
UT,,state,5/1/20,Entertainment,start
OK,,state,4/24/20,Resumed Elective Medical Procedures,start
CO,Archuleta,county,9/25/20,Houses of Worship,start
ND,Morton,county,9/3/20,Food and Drink,start
TN,Knox County,county,3/24/20,Shelter in Place,start
TN,,state,4/1/20,Non-Essential Businesses,start
MS,,state,3/24/20,Nursing Homes,start
MS,Grenada,county,7/13/20,Childcare (K-12),start
VT,,state,5/14/20,Stop Enforcement Of Evictions Overall Or Due To Covid Related Issues,start
AK,,state,3/18/20,Food and Drink,start
MI,Cheboygan,county,7/31/20,Entertainment,start
WY,,state,3/19/20,Gyms,start
ND,Williams,county,9/3/20,Non-Essential Businesses,start
NY,,state,3/21/20,Froze Mortgage Payments,start
WV,,state,3/30/20,Modify Medicaid Requirements With 1135 Waivers Date Of CMS Approval,start
TN,,state,5/1/20,Resumed Elective Medical Procedures,start
MT,,state,3/28/20,Shelter in Place,start
PA,Beaver County,county,3/28/20,Shelter in Place,start
NV,,state,5/9/20,Mandate Face Mask Use By All Individuals In Public Facing Businesses,start
UT,Wasatch County,county,4/1/20,Shelter in Place,start
OH,,state,3/9/20,Allow Expand Medicaid Telehealth Coverage,start
CT,,state,3/9/20,Nursing Homes,start
CT,,state,3/17/20,Childcare (K-12),start
NM,,state,3/19/20,Gyms,start
ID,Adams,county,10/27/20,Phase 3,start
MD,,state,3/30/20,Shelter in Place,start
MO,Linn County,county,4/3/20,Shelter in Place,start
TX,Deaf Smith County,county,3/31/20,Shelter in Place,start
NJ,,state,3/9/20,State of Emergency,start
NE,Holt,county,4/1/20,Shelter in Place,start
NY,Cattaraugus,county,6/16/20,Non-Essential Businesses,start
CA,Santa Cruz County,county,3/17/20,Shelter in Place,start
NV,,state,3/21/20,Gyms,start
IL,Cook,county,3/21/20,Food and Drink,start
UT,Garfield,county,6/19/20,Phase 4,start
FL,,state,4/2/20,Stop Enforcement Of Evictions Overall Or Due To Covid Related Issues,start
CO,Denver,county,6/17/20,Non-Essential Businesses,start
NE,,state,4/3/20,Food and Drink,start
PA,,state,3/15/20,Allow Audio Only Telehealth,start
NE,Johnson,county,4/3/20,Shelter in Place,start
VT,,state,3/30/20,Modify Medicaid Requirements With 1135 Waivers Date Of CMS Approval,start
GA,Clayton County,county,4/1/20,Shelter in Place,start
SC,,state,3/19/20,Allow Audio Only Telehealth,start
MT,,state,3/16/20,Childcare (K-12),start
CA,Alameda,county,5/18/20,Food and Drink,start
IL,Randolph,county,8/18/20,Non-Essential Businesses,start
FL,Broward County,county,3/27/20,Shelter in Place,start
ID,,state,3/25/20,Shelter in Place,start
NE,Morrill,county,3/30/20,Shelter in Place,start
IL,,state,3/21/20,Non-Essential Businesses,start
OK,,state,3/24/20,Suspended Elective Medical Dental Procedures,start
ID,Washington,county,10/27/20,Phase 3,start
MS,Madison,county,7/13/20,Childcare (K-12),start
AZ,,state,3/31/20,Shelter in Place,start
ND,Grand Forks,county,9/3/20,Outdoor and Recreation,start
FL,,state,4/2/20,Stop Initiation Of Evictions Overall Or Due To Covid Related Issues,start
NC,Forsyth County,county,3/27/20,Shelter in Place,start
AR,,state,4/2/20,Modify Medicaid Requirements With 1135 Waivers Date Of CMS Approval,start
MS,Claiborne,county,7/13/20,Food and Drink,start
WA,,state,3/18/20,Stop Enforcement Of Evictions Overall Or Due To Covid Related Issues,start
ME,Lincoln,county,5/18/20,Outdoor and Recreation,start
MA,,state,3/11/20,Reopened ACA Enrollment Using a Special Enrollment Period,start
AL,,state,4/3/20,Stop Enforcement Of Evictions Overall Or Due To Covid Related Issues,start
GA,Fulton,county,4/1/20,Manufacturing,start
ID,Bear Lake,county,6/13/20,Entertainment,start
MO,,state,3/23/20,Allow Expand Medicaid Telehealth Coverage,start
ME,Waldo,county,5/18/20,Food and Drink,start
TX,Fort Bend County,county,3/25/20,Shelter in Place,start
TX,,state,7/3/20,Mandate Face Mask Use By All Individuals In Public Spaces,start
OK,,state,4/1/20,Entertainment,start
ME,Washington,county,5/18/20,Outdoor and Recreation,start
TX,McCulloch,county,7/3/20,Mask Requirement,start
NY,,state,6/8/20,Resumed Elective Medical Procedures,start
OH,Butler,county,7/23/20,Public Health Advisory System,start
